1 2 3 4 5 6 7 8 9 10
1 76 4 96 0 42 0 0 45 51
5 0 48 25 72 85 36 0 75 0
8 0 13 0 0 0 93 0 66 83
79 0 75 0 31 0 83 0 14 0
1 21 36 70 42 97 0 0 18 18
63 0 0 86 77 0 19 0 43 15
57 97 18 54 23 0 63 0 2 49
80 82 86 91 0 81 96 0 50 0
75 91 70 94 38 26 0 0 38 81
19 79 30 43 62 7 40 0 76 9
96 48 27 0 4 45 0 0 56 0
9 85 68 36 38 12 67 0 63 28
3 0 69 53 2 32 0 0 18 91
21 10 0 0 71 0 89 0 52 29
10 50 9 23 65 77 93 0 2 58
31 34 0 0 23 0 0 0 10 0
15 28 27 1 0 20 12 0 11 21
19 41 36 0 13 36 0 50 59 80
67 48 6 54 86 20 0 0 34 53
